"Name";"OS";"CreationDate"
"CPP-MAIN-ACT-20211202-00795";"Ubuntu Linux (64-bit)";"15/12/2021 11:21:50"
"CPP-DB1-ACT-20211202-00795";"Ubuntu Linux (64-bit)";"15/12/2021 13:14:14"
"CUST-VM-GAMEOO-CHG0006848";"Ubuntu Linux (64-bit)";"03/01/2025 08:21:09"
"CUST-VM-AXI-ALTERRA";"Microsoft Windows Server 2022 (64-bit)";"19/02/2026 08:19:24"
"STX-CUST-VM-ENDUMA-IX-20230829-00003-CLONE";"Ubuntu Linux (64-bit)";"30/01/2025 19:50:49"
"CLONE-KIDSACADEMY-20230920";"Ubuntu Linux (64-bit)";"20/09/2023 13:40:03"
"CUST-VM-EVOBAT-01";"Ubuntu Linux (64-bit)";"30/01/2025 20:02:39"
"STX-TPL-INFRA-UBU24";"Ubuntu Linux (64-bit)";"20/01/2026 07:41:25"
"STX-DEBIAN-LAB";"Debian GNU/Linux 12 (64-bit)";"11/04/2025 09:07:54"
"STX-TEMPLATE-WIN-SERVER2022";"Microsoft Windows Server 2022 (64-bit)";"19/02/2026 06:55:06"
"TGN-INFRA-PNMSJ-2019";"Microsoft Windows Server 2016 (64-bit)";"21/09/2021 07:54:59"
"Cisco-vISE-300-3.4.0.608";"Red Hat Enterprise Linux 8 (64-bit)";"12/12/2025 09:09:51"
"tgn-infra-device42";"CentOS 4/5 (64-bit)";"25/10/2024 20:11:03"
"CUST-VM-KIDSACADEMY-NEW--IX-20221007-00021-2";"Ubuntu Linux (64-bit)";"10/07/2023 11:14:18"
"STX-CUST-TALYS";"Ubuntu Linux (64-bit)";"13/09/2023 11:55:45"
"CUST-VM-MTTM-ACT-20210201-00844";"Other 4.x Linux (64-bit)";"08/02/2021 12:29:59"
"CUST-VM-VPS1-COLORYS-IX-20220811-00011";"Debian GNU/Linux 11 (64-bit)";"11/08/2022 13:22:59"
"CUST-VM-SONAPAR-ACT-20201109-00203";"Ubuntu Linux (64-bit)";"13/11/2020 08:22:12"
"CUST-VM-ACADE IX-20220922-00046";"Ubuntu Linux (64-bit)";"22/09/2022 09:01:14"
"CUST-VM-GRANDMELLIS";"Ubuntu Linux (64-bit)";"03/01/2024 07:12:34"
"CUST-VM-PSM-ACT-20180323-01517";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-NAK-BkP";"Ubuntu Linux (64-bit)";"16/11/2022 09:34:38"
"CUST-VM-FILEMS2-ACT-20181031-01347";"Debian GNU/Linux 11 (64-bit)";"23/11/2022 14:01:32"
"CUST-VM-AMIT-REQ-20190805-00639";"Debian GNU/Linux 9 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-ONGDEFI-1-REQ-20181106-01579";"Other 4.x Linux (64-bit)";"01/01/1970 00:00:00"
"STX-CUST-AMM-IX-20230612-00057";"Debian GNU/Linux 12 (64-bit)";"12/06/2023 06:22:19"
"CUST-VM-MIJAHASINA-ACT-20200420-00950";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-ICEWARP-LOGISTICSHUBMG-IX-20230612-00054-OFF";"Ubuntu Linux (64-bit)";"09/06/2023 15:19:09"
"CUST-VM-MEN3-ACT-20190213-00577";"Debian GNU/Linux 9 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-ASL-ACT-20181025-00876";"Debian GNU/Linux 9 (64-bit)";"01/01/1970 00:00:00"
"STX-VM-FCCIM-ACT-20211115-00337-A-SUPPRIMER";"Ubuntu Linux (64-bit)";"26/11/2021 11:04:57"
"CUST-VM-VERTEC-REQ-20180625-00048";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-SMGD-ACT-20211012-00387";"CentOS 7 (64-bit)";"14/10/2021 12:21:38"
"CUST-VM-MADAOZI-IX-20222610";"CentOS 7 (64-bit)";"26/10/2022 05:23:14"
"STX-CUST-MABOO";"Ubuntu Linux (64-bit)";"08/03/2024 12:51:42"
"CUST-VM-RVS-NEW-ACT-20210610-00439";"Debian GNU/Linux 11 (64-bit)";"14/02/2022 12:59:24"
"CUST-VM-VOUCHERPIMP-ACT-20180206-00244";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-FusionHub-EUFONIE-ACT-20200915-02269";"Ubuntu Linux (64-bit)";"18/09/2020 13:28:20"
"CUST-VM-ATOS-2-REQ-20191017-00502";"Debian GNU/Linux 10 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-NEXT-FOOD-AFRICA-6051";"Ubuntu Linux (64-bit)";"30/09/2024 20:49:27"
"CUST-VM-PHARMALAGASY-ACT-20200924-01689";"CentOS 7 (64-bit)";"28/09/2020 08:06:23"
"CUST-VM-SODIM IX-20221230-00052";"Ubuntu Linux (64-bit)";"30/12/2022 13:35:34"
"STX-CUST-VM-VALENCE";"Debian GNU/Linux 13 (64-bit)";"06/05/2025 07:34:58"
"CUST-VM-PIC-REQ-20171214-00852-recovered";"Debian GNU/Linux 8 (64-bit)";"15/04/2025 08:30:28"
"CUST-VM-HCC-REQ-20220117-00170";"CentOS 7 (64-bit)";"16/02/2022 13:07:44"
"STX-CUST-AZAELA";"Ubuntu Linux (64-bit)";"14/11/2023 07:22:57"
"STX-CUST-VM-SIM-IX-429";"Ubuntu Linux (64-bit)";"05/10/2023 07:38:30"
"CUST-VM-MADAIDS3-REQ-20160310-01191";"CentOS 7 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-CSM-ACT-20211012-01217";"CentOS 7 (64-bit)";"15/10/2021 08:37:05"
"CUST-VM-PULSE-GLPI";"Red Hat Enterprise Linux 9 (64-bit)";"19/12/2024 06:34:41"
"CUST-VM-METEO-ACT-20211006-01185";"CentOS 7 (64-bit)";"13/10/2021 13:23:57"
"CUST-VM-MSI-ACT-20171129-00321";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-2MI";"Other 4.x Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-VIPLOG-PF- ACT-20180108-01382";"FreeBSD 11 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-OCSIF";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-KMR-ACT-20210401-00167";"Ubuntu Linux (64-bit)";"09/04/2021 07:33:21"
"CUST-VM-SMGD-ACT-20220808-00974";"CentOS 8 (64-bit)";"25/08/2022 07:05:26"
"CUST-VM-TRANS-FIDY";"Microsoft Windows Server 2022 (64-bit)";"30/05/2023 06:31:02"
"CUST-VM-MIN-SECU-INT-ACT-20200604-01642";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-MDJ-1-ACT-20220126-07543";"CentOS 7 (64-bit)";"04/02/2022 15:02:54"
"CUST-VM-UPRIM-ACT-20210924-01125";"Ubuntu Linux (64-bit)";"13/10/2021 14:24:59"
"CUST-VM-EMEDIA-ACT-20200905-00194-fo.emedia";"Other 4.x Linux (64-bit)";"11/09/2020 06:09:02"
"CUST-VM-MEN-SIEGE-ACT-20180221-01433";"CentOS 7 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-ETECH-2-ACT-20200402-01387";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-ONGDEFI-2-REQ-20181106-01579";"Debian GNU/Linux 9 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-VATEL-ACT-20200808-00012";"Other 4.x Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-STEPHAINABEAUTY- IX-20221018-00038";"Microsoft Windows Server 2019 (64-bit)";"04/01/2023 08:21:46"
"STX-CUST-BONDY";"Debian GNU/Linux 11 (64-bit)";"06/11/2023 09:03:49"
"CUST-VM-2MI-IX-20230322-00117";"Debian GNU/Linux 11 (64-bit)";"22/03/2023 08:39:22"
"CUST-VM-OZI";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-PARAMAD-IX-20220919-00043";"Ubuntu Linux (64-bit)";"20/09/2022 13:55:44"
"CUST-VM-ADSLZIP-REQ-20180705-00023";"Microsoft Windows Server 2022 (64-bit)";"30/05/2024 08:26:56"
"CUST-VM-LYCEE-FRANCAIS-ACT-20140408-00561";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-FSS-ACT-20200217-01053";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-DOOKAN-ACT-20200907-00979";"Ubuntu Linux (64-bit)";"17/09/2020 19:59:37"
"CUST-VM-SALAMA-ACT-20220228-02908";"Ubuntu Linux (64-bit)";"02/03/2022 04:36:24"
"CUST-VM-MEN-5-SIEGE-ACT-20201020-00098";"Debian GNU/Linux 12 (64-bit)";"22/10/2020 07:00:11"
"CUST-VM-FONDATION-H-ACT-20191206-00068";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-SICAMOCCASION-REQ-20211019-00258";"Ubuntu Linux (64-bit)";"25/10/2021 07:08:34"
"CUST-VM-IMMORAMA";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-PARISPORT-2020-ACT-20200804-07346";"CentOS 7 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-VIVA-REQ-20181015-04009";"Debian GNU/Linux 9 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-BLACKNGREEN-G";"CentOS 7 (64-bit)";"20/06/2022 11:18:39"
"CUST-VM-MINAGRI-ACT-20171120-02061";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-METFPDSI-ACT20200928-00031";"Ubuntu Linux (64-bit)";"21/11/2024 10:37:56"
"CUST-VM-SOFTWELL-CHG0007260";"Ubuntu Linux (64-bit)";"11/02/2025 11:50:25"
"CUST-VM-CHUJRB";"Ubuntu Linux (64-bit)";"19/08/2025 10:23:00"
"CUST-VM-MDJ-2-ACT-20220126-07543";"CentOS 7 (64-bit)";"04/02/2022 15:04:52"
"CUST-VM-MADAGASCO-01";"Microsoft Windows Server 2022 (64-bit)";"04/10/2024 06:59:33"
"CUST-VM-ADSLZIP2-REQ-20180705-00023";"Ubuntu Linux (64-bit)";"07/07/2021 09:03:21"
"CUST-VM-ARMP-IX-20221017-00036";"Ubuntu Linux (64-bit)";"19/10/2022 06:58:16"
"CUST-VM-TEST";"Ubuntu Linux (64-bit)";"07/03/2022 13:08:01"
"CUST-VM-METEO-BACKUP-ACT-20211006-01185";"CentOS 7 (64-bit)";"13/10/2021 13:52:16"
"CUST-VM-VIPLOG-WIN- ACT-20180108-01382";"Microsoft Windows Server 2016 or later (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-SGEM-TGC-20181109-00023";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-MEAH-ACT-20220331-02032";"Ubuntu Linux (64-bit)";"06/04/2022 14:11:45"
"CUST-VM-COPEFRITO1-REQ-20180618-01480";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
