"Name";"OS";"CreationDate"
"CUST-VM-TANYMEVA-01";;"23/10/2024 11:34:11"
"CUST-VM-TANYMEVA-03";"Ubuntu Linux (64-bit)";"01/12/2025 06:38:34"
"CUST-VM-TANYMEVA-02-recovered";"Ubuntu Linux (64-bit)";"04/05/2026 08:45:34"
"STX-CUST-TANYMEVA-OLD";;"14/08/2023 12:01:53"
"CUST-VM-2MI-1-ACT-20160527-03915";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"YAS-MG-KUBEFLOW08";"Ubuntu Linux (64-bit)";"20/05/2026 08:01:34"
"YAS-MG-CLICKHOUSE01";"Ubuntu Linux (64-bit)";"20/05/2026 08:02:14"
"YAS-MG-MONGO01";"Ubuntu Linux (64-bit)";"20/05/2026 07:59:28"
"YAS-MG-W03";"Ubuntu Linux (64-bit)";"20/05/2026 08:02:14"
"YAS-MG-PROXY";"Ubuntu Linux (64-bit)";"20/05/2026 07:58:55"
"YAS-MG-W02";"Ubuntu Linux (64-bit)";"20/05/2026 07:59:25"
"YAS-MG-AMQ01";"Ubuntu Linux (64-bit)";"20/05/2026 08:01:39"
"YAS-MG-W08";"Ubuntu Linux (64-bit)";"20/05/2026 07:59:24"
"YAS-MG-LB";"Ubuntu Linux (64-bit)";"20/05/2026 08:02:18"
"YAS-MG-NFS";"Ubuntu Linux (64-bit)";"20/05/2026 08:01:35"
"YAS-MG-KUBEFLOW07";"Ubuntu Linux (64-bit)";"20/05/2026 08:01:16"
"YAS-MG-KUBEFLOW01";"Ubuntu Linux (64-bit)";"20/05/2026 08:01:19"
"YAS-MG-W01";"Ubuntu Linux (64-bit)";"20/05/2026 08:02:12"
"YAS-MG-KUBEFLOW02";"Ubuntu Linux (64-bit)";"20/05/2026 08:01:30"
"YAS-MG-W06";"Ubuntu Linux (64-bit)";"20/05/2026 07:59:24"
"YAS-MG-KUBEFLOW04";"Ubuntu Linux (64-bit)";"20/05/2026 08:01:20"
"YAS-MG-M03";"Ubuntu Linux (64-bit)";"20/05/2026 08:02:13"
"YAS-MG-W07";"Ubuntu Linux (64-bit)";"20/05/2026 08:02:14"
"YAS-MG-M02";"Ubuntu Linux (64-bit)";"20/05/2026 07:59:24"
"YAS-MG-M01";"Ubuntu Linux (64-bit)";"20/05/2026 07:58:55"
"YAS-MG-ES01";"Ubuntu Linux (64-bit)";"20/05/2026 07:59:28"
"YAS-MG-PFSENSE-ALFRED-NEW";"FreeBSD 15 or later versions (64-bit)";"11/05/2026 11:28:01"
"YAS-MG-W05";"Ubuntu Linux (64-bit)";"20/05/2026 08:02:13"
"YAS-MG-SQL01";"Ubuntu Linux (64-bit)";"20/05/2026 07:59:24"
"YAS-MG-CLICKHOUSE02";"Ubuntu Linux (64-bit)";"20/05/2026 08:02:10"
"YAS-MG-KUBEFLOW05";"Ubuntu Linux (64-bit)";"20/05/2026 07:59:24"
"YAS-MG-W09";"Ubuntu Linux (64-bit)";"20/05/2026 08:01:07"
"YAS-MG-W04";"Ubuntu Linux (64-bit)";"20/05/2026 08:01:12"
"YAS-MG-KUBEFLOW03";"Ubuntu Linux (64-bit)";"20/05/2026 08:00:57"
"YAS-MG-KUBEFLOW06";"Ubuntu Linux (64-bit)";"20/05/2026 08:02:14"
"CUST-VM-PARICLUB-BACKUP-2-ACT-20170928-05688";"Debian GNU/Linux 11 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-PARICLUB-FLAMINGO-ACT-20211229-00491-NEW";;"16/06/2023 06:51:33"
"CUST-VM-PARICLUB-2-REQ-20170518-00856";;"01/01/1970 00:00:00"
"CUST-VM-PARICLUB-FLAMINGO-ACT-20211229-00491";"Ubuntu Linux (64-bit)";"30/12/2021 08:29:29"
"CUST-VM-PARICLUB-BCK-1-ACT-20170928-05688";"Debian GNU/Linux 8 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-PARICLUB-3-REQ-20170518-00856";"Debian GNU/Linux 8 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-PARICLUB-1-ACT-?20161004-05334 - new";"Debian GNU/Linux 8 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-0347489673 - ACT-20170630-02469";"Debian GNU/Linux 8 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-MADAIDS-2 -REQ-20160310-01191";;"01/01/1970 00:00:00"
"CUST-VM-MADAIDS-1-REQ-20160310-01191";"CentOS 7 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-MADAIDS3-OLD-REQ-20160310-01191";"CentOS 7 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-ORCHIDS-ACT-20150807-04139";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-TS - ACT-20160713-02722";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-INDUSTRIE-ACT-20160310-03714";;"01/01/1970 00:00:00"
"CUSt-VM-OPEN-INOVATION";"Ubuntu Linux (64-bit)";"01/07/2024 10:31:28"
"CUST-VM-PROSPERER-2-TGC-20170823-00031";;"01/01/1970 00:00:00"
"CUST-VM-MFB5-REQ-20160603-04016 - DGFAG";;"01/01/1970 00:00:00"
"CUST-VM-COG-ACT-20150505-15421";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-SAS-ACT-20170228-03442";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-CATCHPOINT";"Oracle Linux 8 (64-bit)";"02/08/2024 11:46:25"
"CUST-VM-WORKSPACE - ACT-20170822-06277";"CentOS 7 (64-bit)";"01/01/1970 00:00:00"
"CUST-VM-VIGIE-01";"Ubuntu Linux (64-bit)";"15/09/2024 20:29:42"
"CUST-VM-VIGIE-01-OLD";;"10/09/2024 07:21:31"
"CUST-VM-FISAMBATRA - ACT-20170926-00135";"Ubuntu Linux (64-bit)";"01/01/1970 00:00:00"
"RTP-CMS-RTP-04";"Red Hat Enterprise Linux 9 (64-bit)";"28/09/2023 18:30:50"
"APP-CMS-EGW-06";"Red Hat Enterprise Linux 9 (64-bit)";"14/07/2025 14:01:31"
"PELATRO-FW-VPN-25";"FreeBSD 15 or later versions (64-bit)";"13/09/2025 19:17:38"
"APP-CMS-CCS-06";"Red Hat Enterprise Linux 9 (64-bit)";"14/07/2025 14:01:31"
"APP-CMS-EGW-01";"Red Hat Enterprise Linux 9 (64-bit)";"29/09/2023 07:01:29"
"TS-CMS-TEST-02";"Red Hat Enterprise Linux 9 (64-bit)";"29/09/2023 13:08:03"
"APP-CMS-RTP-07";"Red Hat Enterprise Linux 9 (64-bit)";"14/07/2025 14:01:28"
